,idx,word,pos
321,17,",",","
322,17,bar,NN
323,17,as,IN
324,17,refurbished,VBN
325,17,models,NNS
326,17,",",","
327,17,the,DT
328,17,iPhone,NNP
329,17,SE,NNP
330,17,is,VBZ
331,17,n't,RB
332,17,quite,PDT
333,17,the,DT
334,17,recommend,NN
335,17,choice,NN
336,17,than,IN
337,17,it,PRP
338,17,once,RB
339,17,was,VBD
340,17,.,.
341,18,One,CD
342,18,is,VBZ
343,18,that,IN
344,18,it,PRP
345,18,'s,VBZ
346,18,a,DT
347,18,more,RBR
348,18,affordable,JJ
349,18,option,NN
350,18,than,IN
351,18,the,DT
352,18,iPhone,NNP
353,18,11,CD
354,18,(,-LRB-
355,18,$,$
356,18,699,CD
357,18,at,IN
358,18,Apple,NNP
359,18,),-RRB-
360,18,",",","
361,18,with,IN
362,18,surprisingly,RB
363,18,similar,JJ
364,18,camera,NN
365,18,specs,NNS
366,18,",",","
367,18,which,WDT
368,18,it,PRP
369,18,is,VBZ
370,18,.,.
371,19,And,CC
372,19,yet,RB
373,19,",",","
374,19,once,RB
375,19,opened,VBN
376,19,",",","
377,19,the,DT
378,19,device,NN
379,19,itself,PRP
380,19,.,.
381,20,If,IN
382,20,you,PRP
383,20,’re,VBP
384,20,after,IN
385,20,‘,``
386,20,decent,JJ
387,20,but,CC
388,20,not,RB
389,20,top,JJ
390,20,-,HYPH
391,20,end,NN
392,20,’,''
393,20,performance,NN
394,20,",",","
395,20,then,RB
396,20,that,DT
397,20,’s,VBZ
398,20,what,WP
399,20,the,DT
400,20,iPhone,NNP
401,20,SE,NNP
402,20,2020,CD
403,20,will,MD
404,20,offer,VB
405,20,you,PRP
406,20,:,:
407,20,there,EX
408,20,’s,VBZ
409,20,a,DT
410,20,good,JJ
411,20,camera,NN
412,20,",",","
413,20,enough,JJ
414,20,power,NN
415,20,",",","
416,20,a,DT
417,20,great,JJ
418,20,App,NNP
419,20,Store,NNP
420,20,to,TO
421,20,plunder,VB
422,20,and,CC
423,20,a,DT
424,20,lighter,JJR
425,20,-,HYPH
426,20,weight,NN
427,20,design,NN
428,20,than,IN
429,20,the,DT
430,20,current,JJ
431,20,crop,NN
432,20,of,IN
433,20,iPhone,NNP
434,20,11,CD
435,20,models,NNS
436,20,.,.
437,21,Great,JJ
438,21,camera,NN
439,21,.,.
440,22,The,DT
441,22,new,JJ
442,22,iPhone,NNP
443,22,SE,NNP
444,22,from,IN
445,22,Apple,NNP
446,22,(,-LRB-
447,22,$,$
448,22,399,CD
449,22,for,IN
450,22,32,CD
451,22,GB,NNP
452,22,;,:
453,22,$,$
454,22,499,CD
455,22,for,IN
456,22,128,CD
457,22,GB,NNP
458,22,),-RRB-
459,22,is,VBZ
460,22,the,DT
461,22,small,JJ
462,22,phone,NN
463,22,that,IN
464,22,many,JJ
465,22,people,NNS
466,22,have,VBP
467,22,been,VBN
468,22,waiting,VBG
469,22,for,IN
470,22,",",","
471,22,with,IN
472,22,a,DT
473,22,careful,JJ
474,22,balance,NN
475,22,of,IN
476,22,components,NNS
477,22,that,WDT
478,22,keep,VBP
479,22,it,PRP
480,22,current,JJ
481,22,",",","
482,22,while,IN
483,22,also,RB
484,22,hitting,VBG
485,22,a,DT
486,22,midrange,JJ
487,22,price,NN
488,22,point,NN
489,22,.,.
490,23,Still,RB
491,23,",",","
492,23,if,IN
493,23,you,PRP
494,23,want,VBP
495,23,a,DT
496,23,very,RB
497,23,small,JJ
498,23,Apple,NNP
499,23,handset,NN
500,23,",",","
501,23,there,EX
502,23,'s,VBZ
503,23,no,DT
504,23,alternative,NN
505,23,and,CC
506,23,the,DT
507,23,iPhone,NNP
508,23,SE,NNP
509,23,is,VBZ
510,23,still,RB
511,23,an,DT
512,23,alright,JJ
513,23,phone,NN
514,23,",",","
515,23,and,CC
516,23,you,PRP
517,23,can,MD
518,23,even,RB
519,23,update,VB
520,23,it,PRP
521,23,to,TO
522,23,run,VB
523,23,iOS,NNP
524,23,13,CD
525,23,.,.
526,24,Or,CC
527,24,that,IN
528,24,it,PRP
529,24,'s,VBZ
530,24,the,DT
531,24,2020,CD
532,24,sequel,NN
533,24,to,IN
534,24,the,DT
535,24,original,JJ
536,24,SE,NNP
537,24,from,IN
538,24,2016,CD
539,24,",",","
540,24,which,WDT
541,24,it,PRP
542,24,also,RB
543,24,is,VBZ
544,24,.,.
545,25,the,DT
546,25,new,JJ
547,25,",",","
548,25,lower,JJR
549,25,-,HYPH
550,25,cost,NN
551,25,iPhone,NNP
552,25,SE,NNP
553,25,.,.
554,26,Battery,NN
555,26,life,NN
556,26,could,MD
557,26,be,VB
558,26,better,JJR
559,26,",",","
560,26,the,DT
561,26,screen,NN
562,26,tech,NN
563,26,is,VBZ
564,26,starting,VBG
565,26,to,TO
566,26,age,NN
567,26,",",","
568,26,and,CC
569,26,some,DT
570,26,upgraders,NNS
571,26,will,MD
572,26,miss,VB
573,26,the,DT
574,26,headphone,NN
575,26,jack,NN
576,26,;,:
577,26,but,CC
578,26,overall,RB
579,26,",",","
580,26,the,DT
581,26,smart,JJ
582,26,improvements,NNS
583,26,make,VBP
584,26,this,DT
585,26,–,:
586,26,for,IN
587,26,the,DT
588,26,price,NN
589,26,–,:
590,26,one,CD
591,26,of,IN
592,26,the,DT
593,26,best,JJS
594,26,iPhones,NNPS
595,26,Apple,NNP
596,26,has,VBZ
597,26,ever,RB
598,26,made,VBN
599,26,.,.
600,27,iOS,NNP
601,27,is,VBZ
602,27,excellent,JJ
603,27,.,.
604,28,Anyone,NN
605,28,who,WP
606,28,has,VBZ
607,28,been,VBN
608,28,driven,VBN
609,28,nuts,JJ
610,28,by,IN
611,28,increasingly,RB
612,28,large,JJ
613,28,devices,NNS
614,28,and,CC
615,28,wants,VBZ
616,28,to,TO
617,28,return,VB
618,28,to,IN
619,28,simpler,JJR
620,28,",",","
621,28,one,CD
622,28,-,HYPH
623,28,handed,JJ
624,28,days,NNS
625,28,will,MD
626,28,love,VB
627,28,this,DT
628,28,phone,NN
629,28,.,.
630,29,Compact,JJ
631,29,body,NN
632,29,.,.
633,30,Or,CC
634,30,",",","
635,30,at,IN
636,30,4.7,CD
637,30,inches,NNS
638,30,",",","
639,30,that,IN
640,30,it,PRP
641,30,'s,VBZ
642,30,the,DT
643,30,smallest,JJS
644,30,and,CC
645,30,cheapest,JJS
646,30,iPhone,NNP
647,30,you,PRP
648,30,can,MD
649,30,currently,RB
650,30,buy,VB
651,30,.,.
652,31,felt,VBD
653,31,like,IN
654,31,a,DT
655,31,throwback,NN
656,31,to,IN
657,31,a,DT
658,31,simpler,JJR
659,31,time,NN
660,31,when,WRB
661,31,consumers,NNS
662,31,stood,VBD
663,31,in,IN
664,31,long,JJ
665,31,lines,NNS
666,31,on,IN
667,31,the,DT
668,31,street,NN
669,31,for,IN
670,31,a,DT
671,31,new,JJ
672,31,gadget,NN
673,31,rather,RB
674,31,than,IN
675,31,toilet,NN
676,31,paper,NN
677,31,.,.
678,32,The,DT
679,32,iPhone,NNP
680,32,SE,NNP
681,32,2020,CD
682,32,is,VBZ
683,32,built,VBN
684,32,around,IN
685,32,one,CD
686,32,goal,NN
687,32,:,:
688,32,to,TO
689,32,create,VB
690,32,a,DT
691,32,new,JJ
692,32,iPhone,NNP
693,32,for,IN
694,32,less,JJR
695,32,money,NN
696,32,than,IN
697,32,ever,RB
698,32,",",","
699,32,and,CC
700,32,it,PRP
701,32,achieves,VBZ
702,32,that,DT
703,32,well,RB
704,32,.,.
705,33,Not,RB
706,33,a,DT
707,33,great,JJ
708,33,display,NN
709,33,for,IN
710,33,$,$
711,33,400,CD
712,33,.,.
713,34,It,PRP
714,34,'s,VBZ
715,34,our,PRP$
716,34,Editors,NNS
717,34,',POS
718,34,Choice,NN
719,34,for,IN
720,34,smaller,JJR
721,34,smartphones,NNS
722,34,.,.
723,35,Great,JJ
724,35,camera,NN
725,35,.,.
726,36,Or,CC
727,36,(,-LRB-
728,36,and,CC
729,36,this,DT
730,36,is,VBZ
731,36,my,PRP$
732,36,favorite,JJ
733,36,way,NN
734,36,to,TO
735,36,think,VB
736,36,about,IN
737,36,it,PRP
738,36,),-RRB-
739,36,that,IN
740,36,it,PRP
741,36,'s,VBZ
742,36,an,DT
743,36,iPhone,NNP
744,36,8,CD
745,36,with,IN
746,36,the,DT
747,36,brains,NNS
748,36,and,CC
749,36,power,NN
750,36,of,IN
751,36,an,DT
752,36,iPhone,NNP
753,36,11,CD
754,36,.,.
755,37,The,DT
756,37,SE,NNP
757,37,device,NN
