,idx,word,pos,n_w,n_d,tf,i_d,idf,tf_idf
486,22,midrange,JJ,1,50,0.02,7,4.622167762356662,0.09244335524713325
490,23,still,RB,2,36,0.05555555555555555,34,3.0417173867958143,0.16898429926643413
496,23,very,RB,1,36,0.027777777777777776,12,4.083171261623976,0.11342142393399933
497,23,small,JJ,1,36,0.027777777777777776,33,3.0715703499454956,0.0853213986095971
510,23,still,RB,2,36,0.05555555555555555,34,3.0417173867958143,0.16898429926643413
512,23,alright,JJ,1,36,0.027777777777777776,1,6.568077911411976,0.18244660865033266
518,23,even,RB,1,36,0.027777777777777776,22,3.47703545805366,0.09658431827926833
535,24,original,JJ,1,19,0.05263157894736842,13,4.003128553950439,0.21069097652370727
542,24,also,RB,1,19,0.05263157894736842,30,3.1668805297498204,0.16667792261841158
546,25,new,JJ,1,9,0.1111111111111111,78,2.211369084722384,0.2457076760802649
548,25,lower,JJR,1,9,0.1111111111111111,4,5.181783550292085,0.5757537278102316
558,26,better,JJR,1,46,0.021739130434782608,25,3.349202086543775,0.0728087410118212
578,26,overall,RB,1,46,0.021739130434782608,7,4.622167762356662,0.10048190787731874
581,26,smart,JJ,1,46,0.021739130434782608,7,4.622167762356662,0.10048190787731874
593,26,best,JJS,1,46,0.021739130434782608,12,4.083171261623976,0.08876459264399947
597,26,ever,RB,1,46,0.021739130434782608,12,4.083171261623976,0.08876459264399947
602,27,excellent,JJ,1,4,0.25,7,4.622167762356662,1.1555419405891656
609,28,nuts,JJ,1,26,0.038461538461538464,1,6.568077911411976,0.25261838120815294
611,28,increasingly,RB,1,26,0.038461538461538464,2,5.87493073085203,0.22595887426353964
612,28,large,JJ,1,26,0.038461538461538464,4,5.181783550292085,0.19929936731892636
619,28,simpler,JJR,1,26,0.038461538461538464,2,5.87493073085203,0.22595887426353964
623,28,handed,JJ,1,26,0.038461538461538464,5,4.958639998977875,0.1907169230376106
630,29,compact,JJ,1,3,0.3333333333333333,3,5.469465622743866,1.8231552075812885
643,30,smallest,JJS,1,19,0.05263157894736842,2,5.87493073085203,0.30920688057115947
645,30,cheapest,JJS,1,19,0.05263157894736842,3,5.469465622743866,0.28786661172336137
649,30,currently,RB,1,19,0.05263157894736842,4,5.181783550292085,0.2727254500153729
658,31,simpler,JJR,1,26,0.038461538461538464,2,5.87493073085203,0.22595887426353964
664,31,long,JJ,1,26,0.038461538461538464,8,4.48863636973214,0.17263986037431306
671,31,new,JJ,1,26,0.038461538461538464,78,2.211369084722384,0.08505265710470708
673,31,rather,RB,1,26,0.038461538461538464,10,4.26549281841793,0.16405741609299732
691,32,new,JJ,1,27,0.037037037037037035,78,2.211369084722384,0.08190255869342163
694,32,less,JJR,1,27,0.037037037037037035,23,3.432583695482826,0.1271327294623269
697,32,ever,RB,1,27,0.037037037037037035,12,4.083171261623976,0.15122856524533243
703,32,well,RB,1,27,0.037037037037037035,26,3.3099813733904937,0.12259190271816643
705,33,not,RB,1,8,0.125,64,2.409194828052304,0.301149353506538
707,33,great,JJ,1,8,0.125,16,3.7954891891721947,0.47443614864652434
720,34,smaller,JJR,1,10,0.1,19,3.623638932245535,0.36236389322455353
723,35,great,JJ,1,3,0.3333333333333333,16,3.7954891891721947,1.2651630630573982
732,36,favorite,JJ,1,29,0.034482758620689655,1,6.568077911411976,0.22648544522110262
769,37,white,JJ,1,36,0.027777777777777776,8,4.48863636973214,0.12468434360367053
771,37,black,JJ,1,36,0.027777777777777776,4,5.181783550292085,0.1439384319525579
773,37,red,JJ,1,36,0.027777777777777776,4,5.181783550292085,0.1439384319525579
777,37,back,RB,1,36,0.027777777777777776,18,3.6777061535158113,0.10215850426432808
792,38,just,RB,1,39,0.02564102564102564,31,3.1340907069268296,0.080361300177611
806,38,new,JJ,1,39,0.02564102564102564,78,2.211369084722384,0.056701771403138056
816,38,best,JJS,1,39,0.02564102564102564,12,4.083171261623976,0.10469669901599937
818,38,ever,RB,1,39,0.02564102564102564,12,4.083171261623976,0.10469669901599937
823,38,now,RB,1,39,0.02564102564102564,27,3.2722410454076467,0.08390361654891401
833,39,just,RB,2,20,0.1,31,3.1340907069268296,0.313409070692683
834,39,ok,JJ,1,20,0.05,3,5.469465622743866,0.2734732811371933
843,39,not,RB,1,20,0.05,64,2.409194828052304,0.1204597414026152
844,39,just,RB,2,20,0.1,31,3.1340907069268296,0.313409070692683
850,40,here,RB,1,27,0.037037037037037035,15,3.8600277103097658,0.14296398927073206
853,40,quick,JJ,1,27,0.037037037037037035,4,5.181783550292085,0.1919179092700772
861,40,same,JJ,1,27,0.037037037037037035,29,3.2007820814255017,0.1185474844972408
877,41,excellent,JJ,1,3,0.3333333333333333,7,4.622167762356662,1.5407225874522208
884,42,new,JJ,1,21,0.047619047619047616,78,2.211369084722384,0.10530328974868496
906,43,easily,RB,1,27,0.037037037037037035,14,3.929020581796717,0.1455192808072858
916,43,old,JJ,1,27,0.037037037037037035,16,3.7954891891721947,0.14057367367304424
937,44,familiar,JJ,1,56,0.017857142857142856,4,5.181783550292085,0.09253184911235865
945,44,recently,RB,1,56,0.017857142857142856,2,5.87493073085203,0.1049094773366434
950,44,not,RB,1,56,0.017857142857142856,64,2.409194828052304,0.04302133621521971
958,44,then,RB,1,56,0.017857142857142856,10,4.26549281841793,0.07616951461460589
966,44,before,RB,1,56,0.017857142857142856,7,4.622167762356662,0.08253871004208325
968,44,complete,JJ,1,56,0.017857142857142856,3,5.469465622743866,0.09766902897756903
985,45,also,RB,1,18,0.05555555555555555,30,3.1668805297498204,0.17593780720832333
991,45,old,JJ,1,18,0.05555555555555555,16,3.7954891891721947,0.21086051050956636
994,45,fresh,JJ,1,18,0.05555555555555555,1,6.568077911411976,0.3648932173006653
1000,45,new,JJ,1,18,0.05555555555555555,78,2.211369084722384,0.12285383804013245
1005,46,same,JJ,1,23,0.043478260869565216,29,3.2007820814255017,0.1391644383228479
1018,46,front,JJ,1,23,0.043478260869565216,12,4.083171261623976,0.17752918528799894
1025,47,solid,JJ,1,4,0.25,10,4.26549281841793,1.0663732046044825
1029,48,affordable,JJ,1,3,0.3333333333333333,3,5.469465622743866,1.8231552075812885
1033,49,new,JJ,1,12,0.08333333333333333,78,2.211369084722384,0.18428075706019867
1046,50,now,RB,1,40,0.025,27,3.2722410454076467,0.08180602613519117
1051,50,smaller,JJR,1,40,0.025,19,3.623638932245535,0.09059097330613838
1064,50,more,RBR,2,40,0.05,59,2.490540467506256,0.12452702337531281
1065,50,recent,JJ,1,40,0.025,7,4.622167762356662,0.11555419405891657
1072,50,more,RBR,2,40,0.05,59,2.490540467506256,0.12452702337531281
1073,50,lightweight,JJ,1,40,0.025,4,5.181783550292085,0.12954458875730213
1075,50,pocketable,JJ,1,40,0.025,2,5.87493073085203,0.14687326827130076
1089,51,latest,JJS,1,13,0.07692307692307693,6,4.77631844218392,0.36740911093722467
1093,51,hardly,RB,1,13,0.07692307692307693,2,5.87493073085203,0.4519177485270793
1095,51,first,JJ,1,13,0.07692307692307693,9,4.370853334075757,0.33621948723659667
1103,52,rear,JJ,1,22,0.045454545454545456,8,4.48863636973214,0.20402892589691543
1119,53,average,JJ,1,3,0.3333333333333333,2,5.87493073085203,1.9583102436173434
1122,54,long,JJ,1,6,0.16666666666666666,8,4.48863636973214,0.7481060616220232
1125,54,so,RB,1,6,0.16666666666666666,25,3.349202086543775,0.5582003477572958
1126,54,far,RB,1,6,0.16666666666666666,12,4.083171261623976,0.680528543603996
1131,55,only,JJ,1,24,0.041666666666666664,28,3.2358734012367716,0.13482805838486547
1137,55,currently,RB,1,24,0.041666666666666664,4,5.181783550292085,0.21590764792883688
1138,55,open,JJ,1,24,0.041666666666666664,2,5.87493073085203,0.24478878045216793
1141,55,new,JJ,1,24,0.041666666666666664,78,2.211369084722384,0.09214037853009933
1154,56,pleasingly,RB,1,59,0.01694915254237288,1,6.568077911411976,0.11132335443071145
1156,56,resistant,JJ,1,59,0.01694915254237288,1,6.568077911411976,0.11132335443071145
1166,56,older,JJR,1,59,0.01694915254237288,12,4.083171261623976,0.0692062925698979
1172,56,headphone,JJ,1,59,0.01694915254237288,4,5.181783550292085,0.08782683983545907
1184,56,slightly,RB,1,59,0.01694915254237288,4,5.181783550292085,0.08782683983545907
1198,56,bright,JJ,1,59,0.01694915254237288,8,4.48863636973214,0.07607858253783288
1209,56,like,JJ,1,59,0.01694915254237288,44,2.783888277493715,0.04718454707616466
1214,57,similar,JJ,1,31,0.03225806451612903,12,4.083171261623976,0.13171520198787018
1222,57,still,RB,1,31,0.03225806451612903,34,3.0417173867958143,0.09811991570309078
1233,57,essentially,RB,1,31,0.03225806451612903,1,6.568077911411976,0.21187348101328954
1234,57,identical,JJ,1,31,0.03225806451612903,4,5.181783550292085,0.16715430807393822
1253,58,latest,JJS,1,24,0.041666666666666664,6,4.77631844218392,0.19901326842433
1266,59,poor,JJ,1,6,0.16666666666666666,1,6.568077911411976,1.094679651901996
1272,60,great,JJ,1,4,0.25,16,3.7954891891721947,0.9488722972930487
1273,60,rear,JJ,1,4,0.25,8,4.48863636973214,1.122159092433035
1279,61,only,JJ,1,12,0.08333333333333333,28,3.2358734012367716,0.26965611676973095
1285,61,currently,RB,1,12,0.08333333333333333,4,5.181783550292085,0.43181529585767375
1286,61,open,JJ,1,12,0.08333333333333333,2,5.87493073085203,0.48957756090433585
1294,62,same,JJ,1,45,0.022222222222222223,29,3.2007820814255017,0.07112849069834448
1305,62,much,RB,1,45,0.022222222222222223,28,3.2358734012367716,0.07190829780526159
1306,62,improved,JJ,1,45,0.022222222222222223,8,4.48863636973214,0.09974747488293643
1308,62,notably,RB,1,45,0.022222222222222223,2,5.87493073085203,0.13055401624115623
1310,62,new,JJ,1,45,0.022222222222222223,78,2.211369084722384,0.04914153521605298
1314,62,inside,RB,1,45,0.022222222222222223,5,4.958639998977875,0.11019199997728613
1319,62,nearly,RB,1,45,0.022222222222222223,7,4.622167762356662,0.10271483916348138
1320,62,everywhere,RB,1,45,0.022222222222222223,1,6.568077911411976,0.14595728692026613
1322,62,really,RB,1,45,0.022222222222222223,8,4.48863636973214,0.09974747488293643
1329,62,older,JJR,1,45,0.022222222222222223,12,4.083171261623976,0.09073713914719947
1341,63,new,JJ,1,26,0.038461538461538464,78,2.211369084722384,0.08505265710470708
1356,63,usual,JJ,1,26,0.038461538461538464,2,5.87493073085203,0.22595887426353964
1384,65,last,JJ,1,13,0.07692307692307693,15,3.8600277103097658,0.29692520848536663
1385,65,truly,RB,1,13,0.07692307692307693,4,5.181783550292085,0.3985987346378527
1386,65,small,JJ,1,13,0.07692307692307693,33,3.0715703499454956,0.23627464230349968
1394,66,pro,JJ,1,7,0.14285714285714285,21,3.523555473688553,0.5033650676697933
1395,66,-,JJ,1,7,0.14285714285714285,140,1.6264354888026713,0.23234792697181017
1396,66,level,JJ,1,7,0.14285714285714285,6,4.77631844218392,0.6823312060262743
1424,67,arguably,RB,1,35,0.02857142857142857,1,6.568077911411976,0.18765936889748502
1426,67,most,RBS,1,35,0.02857142857142857,36,2.984558972955866,0.08527311351302473
1427,67,powerful,JJ,1,35,0.02857142857142857,10,4.26549281841793,0.12187122338336942
1436,68,not,RB,2,21,0.09523809523809523,64,2.409194828052304,0.2294471264811718
1437,68,quite,RB,1,21,0.047619047619047616,8,4.48863636973214,0.2137445890348638
1445,68,last,JJ,1,21,0.047619047619047616,15,3.8600277103097658,0.18381084334808406
1451,68,not,RB,2,21,0.09523809523809523,64,2.409194828052304,0.2294471264811718
1452,68,far,RB,1,21,0.047619047619047616,12,4.083171261623976,0.19443672674399884
1453,68,off,RB,1,21,0.047619047619047616,9,4.370853334075757,0.2081358730512265
1457,69,smart,JJ,1,13,0.07692307692307693,7,4.622167762356662,0.3555513663351279
1461,69,great,JJ,1,13,0.07692307692307693,16,3.7954891891721947,0.2919607068593996
1464,69,still,RB,1,13,0.07692307692307693,34,3.0417173867958143,0.23397826052275494
1492,70,back,RB,1,34,0.029411764705882353,18,3.6777061535158113,0.10816782804458268
1503,71,same,JJ,1,27,0.037037037037037035,29,3.2007820814255017,0.1185474844972408
1507,71,older,JJR,1,27,0.037037037037037035,12,4.083171261623976,0.15122856524533243
1514,71,easily,RB,1,27,0.037037037037037035,14,3.929020581796717,0.1455192808072858
1520,71,super,JJ,1,27,0.037037037037037035,2,5.87493073085203,0.2175900270685937
1521,71,-,JJ,2,27,0.07407407407407407,140,1.6264354888026713,0.12047670287427194
1522,71,easy,JJ,1,27,0.037037037037037035,6,4.77631844218392,0.1769006830438489
1527,71,handed,JJ,1,27,0.037037037037037035,5,4.958639998977875,0.18365333329547687
1530,72,n't,RB,1,4,0.25,23,3.432583695482826,0.8581459238707065
1537,73,else,RB,1,6,0.16666666666666666,4,5.181783550292085,0.8636305917153475
1540,74,a13,JJ,1,38,0.02631578947368421,13,4.003128553950439,0.10534548826185364
1547,74,too,RB,1,38,0.02631578947368421,15,3.8600277103097658,0.1015796765870991
1551,74,discernible,JJ,1,38,0.02631578947368421,1,6.568077911411976,0.17284415556347305
1566,74,just,RB,1,38,0.02631578947368421,31,3.1340907069268296,0.08247607123491656
1568,74,single,JJ,1,38,0.02631578947368421,9,4.370853334075757,0.11502245615988833
1579,75,lazy,JJ,1,9,0.1111111111111111,1,6.568077911411976,0.7297864346013306
1583,75,obsolete,JJ,1,9,0.1111111111111111,1,6.568077911411976,0.7297864346013306
1597,76,physical,JJ,1,18,0.05555555555555555,5,4.958639998977875,0.27547999994321526
1604,77,now,RB,1,25,0.04,27,3.2722410454076467,0.13088964181630586
1611,77,little,JJ,1,25,0.04,16,3.7954891891721947,0.1518195675668878
1612,77,old,JJ,1,25,0.04,16,3.7954891891721947,0.1518195675668878
1617,77,increasingly,RB,1,25,0.04,2,5.87493073085203,0.23499722923408123
1618,77,hard,JJ,1,25,0.04,9,4.370853334075757,0.17483413336303028
1622,77,only,RB,1,25,0.04,28,3.2358734012367716,0.12943493604947087
1624,77,few,JJ,1,25,0.04,16,3.7954891891721947,0.1518195675668878
1627,77,available,JJ,1,25,0.04,7,4.622167762356662,0.1848867104942665
1629,78,old,JJ,1,4,0.25,16,3.7954891891721947,0.9488722972930487
1634,79,harder,JJR,1,15,0.06666666666666667,2,5.87493073085203,0.3916620487234687
1644,79,typical,JJ,1,15,0.06666666666666667,2,5.87493073085203,0.3916620487234687
1650,80,decent,JJ,1,34,0.029411764705882353,6,4.77631844218392,0.14047995418188
1652,80,bright,JJ,1,34,0.029411764705882353,8,4.48863636973214,0.13201871675682764
1657,80,most,JJS,1,34,0.029411764705882353,36,2.984558972955866,0.08778114626340781
1663,80,n’t,RB,1,34,0.029411764705882353,80,2.186051276738094,0.06429562578641454
1664,80,quite,RB,1,34,0.029411764705882353,8,4.48863636973214,0.13201871675682764
1667,80,same,JJ,1,34,0.029411764705882353,29,3.2007820814255017,0.09414064945369123
1691,81,ready,JJ,1,20,0.05,2,5.87493073085203,0.2937465365426015
1693,81,ever,RB,1,20,0.05,12,4.083171261623976,0.2041585630811988
1705,82,easily,RB,1,12,0.08333333333333333,14,3.929020581796717,0.32741838181639304
1718,83,n’t,RB,1,29,0.034482758620689655,80,2.186051276738094,0.07538107850821014
1730,83,ever,RB,1,29,0.034482758620689655,12,4.083171261623976,0.1407990090215164
1736,83,still,RB,1,29,0.034482758620689655,34,3.0417173867958143,0.10488680644123498
1738,83,small,JJ,1,29,0.034482758620689655,33,3.0715703499454956,0.10591621896363777
1746,84,mediocre,JJ,1,5,0.2,1,6.568077911411976,1.3136155822823952
1758,85,exactly,RB,1,23,0.043478260869565216,3,5.469465622743866,0.23780285316277677
1762,85,now,RB,1,23,0.043478260869565216,27,3.2722410454076467,0.14227134980033246
1767,85,intentionally,RB,1,23,0.043478260869565216,2,5.87493073085203,0.25543177090661
1769,85,not,RB,1,23,0.043478260869565216,64,2.409194828052304,0.10474760121966538
1775,86,n’t,RB,1,45,0.022222222222222223,80,2.186051276738094,0.04857891726084654
1777,86,as,RB,3,45,0.06666666666666667,72,2.2914117923959205,0.15276078615972805
1778,86,well,RB,1,45,0.022222222222222223,26,3.3099813733904937,0.07355514163089986
1785,86,second,JJ,1,45,0.022222222222222223,7,4.622167762356662,0.10271483916348138
1792,86,precise,JJ,1,45,0.022222222222222223,1,6.568077911411976,0.14595728692026613
1806,86,odd,JJ,1,45,0.022222222222222223,3,5.469465622743866,0.12154368050541925
1820,87,in,RB,1,37,0.02702702702702703,160,1.4929040961781488,0.040348759356166185
1825,87,indisputable,JJ,1,37,0.02702702702702703,1,6.568077911411976,0.1775156192273507
1836,87,least,RBS,1,37,0.02702702702702703,2,5.87493073085203,0.15878191164464947
1837,87,expensive,JJ,1,37,0.02702702702702703,4,5.181783550292085,0.14004820406194826
1844,87,important,JJ,1,37,0.02702702702702703,7,4.622167762356662,0.12492345303666656
1846,87,no,RB,1,37,0.02702702702702703,17,3.7348645673557597,0.10094228560420973
1847,87,matter,RB,1,37,0.02702702702702703,1,6.568077911411976,0.1775156192273507
1855,88,only,RB,1,33,0.030303030303030304,28,3.2358734012367716,0.09805676973444763
1857,88,visible,JJ,1,33,0.030303030303030304,1,6.568077911411976,0.19903266398218109
1863,88,older,JJR,1,33,0.030303030303030304,12,4.083171261623976,0.12373246247345382
1869,88,small,JJ,1,33,0.030303030303030304,33,3.0715703499454956,0.09307788939228775
1878,88,beveled,JJ,1,33,0.030303030303030304,1,6.568077911411976,0.19903266398218109
1882,88,rather,RB,1,33,0.030303030303030304,10,4.26549281841793,0.12925735813387668
1884,88,shiny,JJ,1,33,0.030303030303030304,2,5.87493073085203,0.17802820396521304
1887,89,many,JJ,1,10,0.1,17,3.7348645673557597,0.373486456735576
1897,90,new,JJ,1,18,0.05555555555555555,78,2.211369084722384,0.12285383804013245
1902,90,classic,JJ,1,18,0.05555555555555555,1,6.568077911411976,0.3648932173006653
1910,90,first,JJ,1,18,0.05555555555555555,9,4.370853334075757,0.24282518522643093
1922,91,far,RB,1,36,0.027777777777777776,12,4.083171261623976,0.11342142393399933
1924,91,most,RBS,1,36,0.027777777777777776,36,2.984558972955866,0.08290441591544072
1925,91,affordable,JJ,1,36,0.027777777777777776,3,5.469465622743866,0.15192960063177405
1926,91,new,JJ,1,36,0.027777777777777776,78,2.211369084722384,0.06142691902006622
1932,91,many,JJ,1,36,0.027777777777777776,17,3.7348645673557597,0.10374623798210443
1951,92,overall,RB,1,18,0.05555555555555555,7,4.622167762356662,0.25678709790870347
1956,92,especially,RB,1,18,0.05555555555555555,9,4.370853334075757,0.24282518522643093
1962,92,impressive,JJ,1,18,0.05555555555555555,8,4.48863636973214,0.24936868720734107
1965,92,most,JJS,1,18,0.05555555555555555,36,2.984558972955866,0.16580883183088144
1978,93,new,JJ,1,14,0.07142857142857142,78,2.211369084722384,0.15795493462302743
1984,94,also,RB,1,20,0.05,30,3.1668805297498204,0.15834402648749102
1985,94,now,RB,1,20,0.05,27,3.2722410454076467,0.16361205227038234
1994,94,dark,JJ,1,20,0.05,2,5.87493073085203,0.2937465365426015
1995,94,gray,JJ,1,20,0.05,1,6.568077911411976,0.3284038955705988
2015,95,latest,JJS,1,25,0.04,6,4.77631844218392,0.1910527376873568
2039,96,same,JJ,1,19,0.05263157894736842,29,3.2007820814255017,0.1684622148118685
2046,97,more,JJR,1,23,0.043478260869565216,59,2.490540467506256,0.10828436815244591
2058,97,alone,RB,1,23,0.043478260869565216,2,5.87493073085203,0.25543177090661
2060,97,many,JJ,1,23,0.043478260869565216,17,3.7348645673557597,0.16238541597198955
2072,98,probably,RB,1,37,0.02702702702702703,4,5.181783550292085,0.14004820406194826
2076,98,biggest,JJS,1,37,0.02702702702702703,2,5.87493073085203,0.15878191164464947
2088,98,not,RB,1,37,0.02702702702702703,64,2.409194828052304,0.06511337373114336
2091,98,easily,RB,1,37,0.02702702702702703,14,3.929020581796717,0.10618974545396533
2100,98,particularly,RB,1,37,0.02702702702702703,7,4.622167762356662,0.12492345303666656
2101,98,light,JJ,1,37,0.02702702702702703,18,3.6777061535158113,0.09939746360853545
2110,99,awkward,JJ,1,11,0.09090909090909091,1,6.568077911411976,0.5970979919465432
2120,100,also,RB,1,25,0.04,30,3.1668805297498204,0.1266752211899928
2123,100,same,JJ,1,25,0.04,29,3.2007820814255017,0.12803128325702007
2149,101,most,RBS,1,28,0.03571428571428571,36,2.984558972955866,0.10659139189128092
2150,101,important,JJ,1,28,0.03571428571428571,7,4.622167762356662,0.1650774200841665
2155,101,then,RB,1,28,0.03571428571428571,10,4.26549281841793,0.15233902922921178
2159,101,smallest,JJS,1,28,0.03571428571428571,2,5.87493073085203,0.2098189546732868
2167,101,long,JJ,1,28,0.03571428571428571,8,4.48863636973214,0.16030844177614784
2174,102,clever,JJ,1,33,0.030303030303030304,1,6.568077911411976,0.19903266398218109
2180,102,nearly,RB,1,33,0.030303030303030304,7,4.622167762356662,0.1400656897683837
2183,102,old,JJ,1,33,0.030303030303030304,16,3.7954891891721947,0.11501482391430894
2205,103,smaller,JJR,1,31,0.03225806451612903,19,3.623638932245535,0.1168915784595334
2220,103,immediately,RB,1,31,0.03225806451612903,1,6.568077911411976,0.21187348101328954
2221,103,familiar,JJ,1,31,0.03225806451612903,4,5.181783550292085,0.16715430807393822
2223,103,practically,RB,1,31,0.03225806451612903,1,6.568077911411976,0.21187348101328954
2225,103,else,RB,1,31,0.03225806451612903,4,5.181783550292085,0.16715430807393822
2230,103,very,RB,1,31,0.03225806451612903,12,4.083171261623976,0.13171520198787018
2231,103,much,RB,1,31,0.03225806451612903,28,3.2358734012367716,0.10438301294312166
2232,103,not,RB,1,31,0.03225806451612903,64,2.409194828052304,0.0777159621952356
2240,104,hungry,JJ,1,47,0.02127659574468085,1,6.568077911411976,0.13974633854068033
2242,104,available,JJ,1,47,0.02127659574468085,7,4.622167762356662,0.09834399494375877
2247,104,most,JJS,1,47,0.02127659574468085,36,2.984558972955866,0.06350125474374183
